ids,urgence,subjects,categories
b0_m1,Anodine,Demande de mise à jour de l’adresse e-mail dans le portail RH,Demande administrative
b0_m2,Faible,Problème de connexion à la plateforme de formation en ligne,Problème d’accès / authentification
b0_m3,Modérée,Bug sur le tableau de bord des ventes,Bug ou dysfonctionnement d’un service
b0_m4,Élevée,Problème technique informatique : serveur de messagerie indisponible,Problème technique informatique
b0_m5,Critique,Incident de sécurité : fuite de données sensibles,Problème d’accès / authentification
b1_m1,Anodine,Demande d'information sur les formations disponibles,Demande d'information
b1_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b1_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b1_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b1_m5,Critique,Panne du système de gestion des commandes,Bug ou dysfonctionnement d’un service
b2_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b2_m2,Faible,Problème de connexion à l'outil intranet,Problème d’accès / authentification
b2_m3,Modérée,Erreur 500 sur la page de facturation,Bug ou dysfonctionnement d’un service
b2_m4,Élevée,Aide pour l'installation de la nouvelle version du logiciel de gestion,Demande de support utilisateur
b2_m5,Critique,"Panne réseau dans le bâtiment A, arrêt complet du service",Problème technique informatique
b3_m1,Anodine,Demande de congé pour la semaine du 12 mars,Demande administrative
b3_m2,Faible,Problème de connexion au VPN,Problème d’accès / authentification
b3_m3,Modérée,Erreur 500 sur le portail client,Bug ou dysfonctionnement d’un service
b3_m4,Élevée,Panne du serveur de messagerie,Problème technique informatique
b3_m5,Critique,Perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b4_m1,Anodine,Demande de mise à jour de photo de profil,Demande administrative
b4_m2,Faible,Problème de connexion à Outlook depuis le VPN,Problème d’accès / authentification
b4_m3,Modérée,Bug affichage des KPI dans le tableau de bord mensuel,Bug ou dysfonctionnement d’un service
b4_m4,Élevée,Assistance requise pour l'accès aux dossiers partagés,Demande de support utilisateur
b4_m5,Critique,Panne critique du serveur principal – perte de données,Problème technique informatique
b5_m1,Anodine,Demande de renseignements sur les formations disponibles,Demande administrative
b5_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b5_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
b5_m4,Élevée,Problème d'accès aux données confidentielles,Problème d'accès / authentification
b5_m5,Critique,Panne majeure du système de gestion de production,Bug ou dysfonctionnement d'un service
b6_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b6_m2,Faible,Problème de connexion à l’outil intranet,Problème d’accès / authentification
b6_m3,Modérée,Erreur de facturation dans le portail client,Bug ou dysfonctionnement d’un service
b6_m4,Élevée,Panne du serveur de messagerie interne,Problème technique informatique
b6_m5,Critique,Urgent : Perte de données sur le serveur de sauvegarde,Demande de support utilisateur
b7_m1,Anodine,Demande de fournitures de bureau,Demande administrative
b7_m2,Faible,Bug mineur sur la page de connexion du portail interne,Bug ou dysfonctionnement d’un service
b7_m3,Modérée,Problème d’accès VPN depuis le bureau à Lyon,Problème d’accès / authentification
b7_m4,Élevée,Imprimante réseau bloquée en file d’attente,Demande de support utilisateur
b7_m1,Anodine,Demande de documentation pour nouveaux employés,Demande administrative
b7_m2,Faible,Problème mineur avec l’imprimante du bureau,Problème technique informatique
b7_m3,Modérée,Accès refusé à une application essentielle,Problème d’accès / authentification
b7_m4,Élevée,Panne du serveur de production,Problème technique informatique
b7_m5,Critique,Fuite de données sensible,Bug ou dysfonctionnement d’un service
b8_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b8_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b8_m3,Modérée,Bug dans l'application de gestion de projet,Bug ou dysfonctionnement d’un service
b8_m4,Élevée,Problème d'accès aux données confidentielles,Problème d’accès / authentification
b8_m5,Critique,Attaque de phishing en cours contre nos employés,Problème technique informatique
b9_m1,Anodine,Demande de congé pour la semaine du 10 avril,Demande administrative
b9_m2,Faible,Mot de passe oublié pour l'accès VPN,Problème d’accès / authentification
b9_m3,Modérée,CRM ne charge pas les fiches clients,Bug ou dysfonctionnement d’un service
b9_m4,Élevée,Panne du serveur de production - Service de facturation indisponible,Problème technique informatique
b9_m5,Critique,Arrêt complet du système ERP - Incident critique,Demande de support utilisateur
b10_m1,Anodine,Demande de documentation pour nouvelle version de logiciel,Demande de support utilisateur
b10_m2,Faible,Petit problème de mise en page sur le site web,Bug ou dysfonctionnement d’un service
b10_m3,Modérée,Problème d'accès au système de gestion de projet,Problème d’accès / authentification
b10_m4,Élevée,Panne du serveur de données,Problème technique informatique
b10_m5,Critique,Faille de sécurité détectée dans le système de paiement en ligne,Problème technique informatique
b11_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b11_m2,Faible,Mot de passe oublié pour l’accès au portail intranet,Problème d’accès / authentification
b11_m3,Modérée,Erreur 500 lors de l’utilisation du module de facturation,Bug ou dysfonctionnement d’un service
b11_m4,Élevée,Application mobile ne se synchronise pas avec le serveur,Demande de support utilisateur
b11_m5,Critique,"Panne serveur de production, indisponibilité totale du site e-commerce",Problème technique informatique
b12_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b12_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème d'accès / authentification
b12_m3,Modérée,Bug sur le logiciel de gestion de projet,Bug ou dysfonctionnement d'un service
b12_m4,Élevée,Problème de serveur : accès aux données compromis,Problème technique informatique
b12_m5,Critique,Attaque de sécurité : données sensibles exposées,Problème technique informatique
b13_m1,Anodine,Demande de mise à jour de logiciel de facturation,Demande administrative
b13_m2,Faible,Problème d’impression sur le scanner du bureau 3,Problème technique informatique
b13_m3,Modérée,Bug : page de connexion du portail intranet ne se charge pas,Bug ou dysfonctionnement d’un service
b13_m4,Élevée,Problème d’accès au VPN depuis le télétravail,Problème d’accès / authentification
b13_m5,Critique,Interruption totale du service de messagerie pour l’ensemble du siège,Demande de support utilisateur
b14_m1,Anodine,Demande de mise à jour des coordonnées bancaires,Demande administrative
b14_m2,Faible,Problème de connexion à l’application interne,Problème d’accès / authentification
b14_m3,Modérée,Erreur de calcul sur la plateforme de facturation,Bug ou dysfonctionnement d’un service
b14_m4,Élevée,Assistance requise pour la migration des données clients,Demande de support utilisateur
b14_m5,Critique,Panne serveur de production - indisponibilité totale,Problème technique informatique
b15_m1,Anodine,Demande d'information sur les formations disponibles,Demande administrative
b15_m2,Faible,Problème de connexion au réseau Wi-Fi,Problème technique informatique
b15_m3,Modérée,Demande de support pour un logiciel spécifique,Demande de support utilisateur
